sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,19,16,2,1,D023,Paschim Bardhaman
1,20,16,2,1,D023,Pashchimi Singhbhum
1,20,16,2,2,D023,Pashchimi Singhbhum
2,19,16,9,1,D023,Paschim Bardhaman
2,19,16,9,2,D023,Paschim Bardhaman
2,19,16,9,3,D023,Paschim Bardhaman
2,20,16,9,1,D023,Pashchimi Singhbhum
1,22,17,2,1,D023,Bemetara
1,33,17,2,1,D023,Theni
1,36,17,2,1,D023,Rangareddy
1,36,17,2,2,D023,Rangareddy
2,22,17,9,1,D023,Bemetara
2,33,17,9,1,D023,Theni
1,21,18,1,1,D023,Subarnapur
2,21,18,9,1,D023,Subarnapur
1,8,19,2,1,D023,Bundi
1,8,19,2,2,D023,Bundi
1,24,19,2,1,D023,Navsari
1,28,19,2,1,D023,Eluru
1,28,19,2,2,D023,Eluru
2,24,19,9,1,D023,Navsari
2,28,19,9,1,D023,Eluru
2,8,20,9,1,D023,Bundi
1,18,21,2,1,D023,Kamrup Metropolitan
1,23,21,2,1,D023,Khargone (West Nimar)
1,23,21,2,2,D023,Khargone (West Nimar)
1,29,21,2,1,D023,Mysuru
1,29,21,2,2,D023,Mysuru
2,18,21,9,1,D023,Kamrup Metropolitan
2,18,21,9,2,D023,Kamrup Metropolitan
2,23,21,9,1,D023,Khargone (West Nimar)
2,29,21,9,1,D023,Mysuru
2,29,21,9,2,D023,Mysuru
1,9,23,2,1,D023,Sitapur
1,9,23,2,2,D023,Sitapur
1,9,23,2,3,D023,Sitapur
2,9,23,9,1,D023,Sitapur
2,36,201,9,1,D023,Rangareddy
2,36,201,9,2,D023,Rangareddy
2,36,201,9,3,D023,Rangareddy
2,36,201,9,4,D023,Rangareddy
2,36,201,9,5,D023,Rangareddy
2,36,201,9,6,D023,Rangareddy
2,36,201,9,7,D023,Rangareddy
2,36,201,9,8,D023,Rangareddy
1,9,523,2,1,D023,Sitapur
1,27,15,2,1,D024,Raigad
1,27,15,2,2,D024,Raigad
2,27,15,9,1,D024,Raigad
2,27,15,9,2,D024,Raigad
1,20,17,2,1,D024,Saraikela-Kharsawan
2,20,17,9,1,D024,Saraikela-Kharsawan
1,22,18,2,1,D024,Balod
1,33,18,2,1,D024,Virudhunagar
1,36,18,2,1,D024,Vikarabad
2,22,18,9,1,D024,Balod
2,33,18,9,1,D024,Virudhunagar
2,33,18,9,2,D024,Virudhunagar
1,10,19,2,1,D024,Munger
